
2025/03/01 (15:03:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (15:04:57) | ===> btop++ v.1.4.0
2025/03/01 (15:04:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (15:05:43) | ===> btop++ v.1.4.0
2025/03/01 (15:05:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (15:10:30) | ===> btop++ v.1.4.0
2025/03/01 (15:10:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (16:58:04) | ===> btop++ v.1.4.0
2025/03/01 (16:58:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (17:50:48) | ===> btop++ v.1.4.0
2025/03/01 (17:50:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (19:42:44) | ===> btop++ v.1.4.0
2025/03/01 (19:42:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (21:17:58) | ===> btop++ v.1.4.0
2025/03/01 (21:17:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (21:44:53) | ===> btop++ v.1.4.0
2025/03/01 (21:44:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (21:53:19) | ===> btop++ v.1.4.0
2025/03/01 (21:53:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (09:19:50) | ===> btop++ v.1.4.0
2025/03/02 (09:19:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (09:22:34) | ===> btop++ v.1.4.0
2025/03/02 (09:22:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (10:02:45) | ===> btop++ v.1.4.0
2025/03/02 (10:02:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (10:07:28) | ===> btop++ v.1.4.0
2025/03/02 (10:07:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (10:14:30) | ===> btop++ v.1.4.0
2025/03/02 (10:14:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (10:19:41) | ===> btop++ v.1.4.0
2025/03/02 (10:19:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (10:43:40) | ===> btop++ v.1.4.0
2025/03/02 (10:43:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (10:45:33) | ===> btop++ v.1.4.0
2025/03/02 (10:45:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (15:05:55) | ===> btop++ v.1.4.0
2025/03/02 (15:05:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (15:16:57) | ===> btop++ v.1.4.0
2025/03/02 (15:16:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (20:28:37) | ===> btop++ v.1.4.0
